Crystal angle	Rate at 12kV
theta/°	R(12kV)/Imp/s

10,0	0,0
10,1	0,0
10,2	0,0
10,3	0,0
10,4	0,0
10,5	0,0
10,6	0,0
10,7	0,0
10,8	0,0
10,9	0,0
11,0	0,0
11,1	0,0
11,2	0,0
11,3	0,0
11,4	0,0
11,5	0,0
11,6	0,0
11,7	0,0
11,8	0,0
11,9	0,0
12,0	0,0
12,1	0,0
12,2	1,0
12,3	0,0
12,4	0,0
12,5	0,0
12,6	0,0
12,7	0,0
12,8	0,0
12,9	0,0
13,0	0,0
13,1	1,0
13,2	0,0
13,3	0,0
13,4	0,0
13,5	0,0
13,6	0,0
13,7	0,0
13,8	0,0
13,9	0,0
14,0	0,0
14,1	0,0
14,2	0,0
14,3	0,0
14,4	1,0
14,5	3,0
14,6	4,0
14,7	6,0
14,8	7,0
14,9	8,0
15,0	8,0
15,1	12,0
15,2	10,0
15,3	13,0
15,4	14,0
15,5	16,0
15,6	15,0
15,7	18,0
15,8	15,0
15,9	18,0
16,0	17,0
16,1	19,0
16,2	19,0
16,3	20,0
16,4	21,0
16,5	19,0
16,6	22,0
16,7	20,0
16,8	23,0
16,9	22,0
17,0	23,0
17,1	23,0
17,2	23,0
17,3	25,0
17,4	21,0
17,5	23,0
17,6	24,0
17,7	23,0
17,8	23,0
17,9	23,0
18,0	23,0
18,1	23,0
18,2	24,0
18,3	26,0
18,4	29,0
18,5	28,0
18,6	25,0
18,7	26,0
18,8	25,0
18,9	25,0
19,0	25,0
19,1	26,0
19,2	25,0
19,3	25,0
19,4	26,0
19,5	32,0
19,6	43,0
19,7	110,0
19,8	128,0
19,9	117,0
20,0	57,0
20,1	31,0
20,2	28,0
20,3	29,0
20,4	26,0
20,5	27,0
20,6	25,0
20,7	24,0
20,8	24,0
20,9	25,0
21,0	27,0
21,1	25,0
21,2	24,0
21,3	24,0
21,4	25,0
21,5	24,0
21,6	28,0
21,7	28,0
21,8	38,0
21,9	193,0
22,0	416,0
22,1	501,0
22,2	405,0
22,3	215,0
22,4	30,0
22,5	21,0
22,6	19,0
22,7	18,0
22,8	19,0
22,9	17,0
23,0	14,0
