Crystal angle	Rate at 33kV
theta/°	R(33kV)/Imp/s

2,0	406,0
2,1	408,0
2,2	380,0
2,3	351,0
2,4	324,0
2,5	302,0
2,6	300,0
2,7	282,0
2,8	268,0
2,9	246,0
3,0	221,0
3,1	205,0
3,2	171,0
3,3	149,0
3,4	135,0
3,5	118,0
3,6	102,0
3,7	92,0
3,8	87,0
3,9	85,0
4,0	71,0
4,1	68,0
4,2	65,0
4,3	60,0
4,4	53,0
4,5	54,0
4,6	55,0
4,7	53,0
4,8	55,0
4,9	65,0
5,0	76,0
5,1	90,0
5,2	104,0
5,3	123,0
5,4	148,0
5,5	169,0
5,6	187,0
5,7	195,0
5,8	218,0
5,9	233,0
6,0	251,0
6,1	256,0
6,2	271,0
6,3	277,0
6,4	289,0
6,5	299,0
6,6	307,0
6,7	308,0
6,8	318,0
6,9	328,0
7,0	336,0
7,1	337,0
7,2	347,0
7,3	361,0
7,4	373,0
7,5	364,0
7,6	356,0
7,7	354,0
7,8	353,0
7,9	360,0
8,0	364,0
8,1	374,0
8,2	389,0
8,3	436,0
8,4	491,0
8,5	721,0
8,6	915,0
8,7	819,0
8,8	686,0
8,9	530,0
9,0	434,0
9,1	430,0
9,2	435,0
9,3	451,0
9,4	507,0
9,5	807,0
9,6	1499,0
9,7	2511,0
9,8	2798,0
9,9	2437,0
10,0	1232,0
10,1	605,0
10,2	447,0
10,3	439,0
10,4	420,0
10,5	420,0
10,6	426,0
10,7	427,0
10,8	430,0
10,9	426,0
11,0	433,0
11,1	434,0
11,2	432,0
11,3	441,0
11,4	450,0
11,5	437,0
11,6	438,0
11,7	449,0
11,8	442,0
11,9	451,0
12,0	441,0
12,1	450,0
12,2	444,0
12,3	443,0
12,4	440,0
12,5	447,0
12,6	446,0
12,7	430,0
12,8	419,0
12,9	392,0
13,0	364,0
13,1	359,0
13,2	348,0
13,3	358,0
13,4	353,0
13,5	350,0
13,6	351,0
13,7	354,0
13,8	342,0
13,9	351,0
14,0	353,0
14,1	344,0
14,2	346,0
14,3	340,0
14,4	339,0
14,5	330,0
14,6	333,0
14,7	335,0
14,8	330,0
14,9	330,0
15,0	325,0
15,1	331,0
15,2	313,0
15,3	323,0
15,4	320,0
15,5	322,0
15,6	314,0
15,7	316,0
15,8	306,0
15,9	294,0
16,0	298,0
16,1	297,0
16,2	302,0
16,3	291,0
16,4	292,0
16,5	284,0
16,6	278,0
16,7	273,0
16,8	269,0
16,9	279,0
17,0	262,0
17,1	269,0
17,2	273,0
17,3	257,0
17,4	271,0
17,5	278,0
17,6	281,0
17,7	297,0
17,8	324,0
17,9	336,0
18,0	311,0
18,1	279,0
18,2	258,0
18,3	253,0
18,4	253,0
18,5	252,0
18,6	244,0
18,7	248,0
18,8	238,0
18,9	240,0
19,0	231,0
19,1	230,0
19,2	226,0
19,3	224,0
19,4	224,0
19,5	218,0
19,6	222,0
19,7	214,0
19,8	222,0
19,9	271,0
20,0	368,0
20,1	544,0
20,2	673,0
20,3	680,0
20,4	485,0
20,5	317,0
20,6	216,0
20,7	183,0
20,8	176,0
20,9	170,0
21,0	180,0
21,1	177,0
21,2	171,0
21,3	167,0
21,4	157,0
21,5	152,0
21,6	148,0
21,7	148,0
21,8	147,0
21,9	147,0
22,0	149,0
22,1	159,0
22,2	153,0
22,3	148,0
22,4	132,0
22,5	130,0
22,6	124,0
22,7	123,0
22,8	121,0
22,9	119,0
23,0	117,0
23,1	117,0
23,2	114,0
23,3	112,0
23,4	105,0
23,5	106,0
23,6	105,0
23,7	104,0
23,8	102,0
23,9	100,0
24,0	104,0
24,1	100,0
24,2	94,0
24,3	94,0
24,4	90,0
24,5	90,0
24,6	88,0
24,7	86,0
24,8	87,0
24,9	84,0
25,0	83,0
25,1	80,0
25,2	79,0
25,3	79,0
25,4	73,0
25,5	75,0
25,6	75,0
25,7	73,0
25,8	76,0
25,9	72,0
26,0	68,0
26,1	70,0
26,2	67,0
26,3	67,0
26,4	64,0
26,5	64,0
26,6	64,0
26,7	62,0
26,8	59,0
26,9	60,0
27,0	58,0
27,1	58,0
27,2	57,0
27,3	57,0
27,4	55,0
27,5	62,0
27,6	63,0
27,7	62,0
27,8	56,0
27,9	53,0
28,0	50,0
28,1	48,0
28,2	49,0
28,3	46,0
28,4	47,0
28,5	44,0
28,6	43,0
28,7	45,0
28,8	44,0
28,9	43,0
29,0	44,0
29,1	45,0
29,2	41,0
29,3	38,0
29,4	38,0
29,5	37,0
29,6	42,0
29,7	40,0
29,8	38,0
29,9	40,0
30,0	39,0
30,1	39,0
30,2	36,0
30,3	36,0
30,4	39,0
30,5	37,0
30,6	37,0
30,7	36,0
30,8	37,0
30,9	35,0
31,0	36,0
31,1	41,0
31,2	49,0
31,3	71,0
31,4	91,0
31,5	101,0
31,6	90,0
31,7	68,0
31,8	57,0
31,9	42,0
32,0	33,0
32,1	34,0
32,2	33,0
32,3	32,0
32,4	33,0
32,5	33,0
32,6	34,0
32,7	31,0
32,8	32,0
32,9	30,0
33,0	32,0
33,1	31,0
33,2	29,0
33,3	31,0
33,4	29,0
33,5	31,0
33,6	30,0
33,7	29,0
33,8	29,0
33,9	27,0
34,0	28,0
34,1	26,0
34,2	28,0
34,3	29,0
34,4	27,0
34,5	28,0
34,6	25,0
34,7	25,0
34,8	28,0
34,9	24,0
35,0	25,0
