Crystal angle	Rate at 9kV
theta/°	R(9kV)/Imp/s

18,0	0,0
18,1	0,0
18,2	0,0
18,3	0,0
18,4	0,0
18,5	0,0
18,6	0,0
18,7	0,0
18,8	0,0
18,9	0,0
19,0	0,0
19,1	0,0
19,2	0,0
19,3	0,0
19,4	0,0
19,5	0,0
19,6	0,0
19,7	1,0
19,8	1,0
19,9	2,0
20,0	2,0
20,1	3,0
20,2	3,0
20,3	3,0
20,4	4,0
20,5	4,0
20,6	5,0
20,7	4,0
20,8	4,0
20,9	5,0
21,0	5,0
21,1	4,0
21,2	5,0
21,3	5,0
21,4	6,0
21,5	5,0
21,6	6,0
21,7	5,0
21,8	6,0
21,9	6,0
22,0	6,0
22,1	6,0
22,2	6,0
22,3	6,0
22,4	5,0
22,5	6,0
22,6	6,0
22,7	6,0
22,8	6,0
22,9	5,0
23,0	6,0
