Crystal angle	Rate at 25kV
theta/°	R(25kV)/Imp/s

2,0	175,0
2,1	180,0
2,2	111,0
2,3	64,0
2,4	53,0
2,5	58,0
2,6	43,0
2,7	47,0
2,8	49,0
2,9	45,0
3,0	42,0
3,1	34,0
3,2	35,0
3,3	33,0
3,4	29,0
3,5	24,0
3,6	23,0
3,7	20,0
3,8	22,0
3,9	15,0
4,0	14,0
4,1	10,0
4,2	14,0
4,3	13,0
4,4	9,0
4,5	11,0
4,6	9,0
4,7	10,0
4,8	8,0
4,9	12,0
5,0	8,0
5,1	10,0
5,2	9,0
5,3	10,0
5,4	11,0
5,5	11,0
5,6	13,0
5,7	13,0
5,8	16,0
5,9	9,0
6,0	13,0
6,1	16,0
6,2	15,0
6,3	15,0
6,4	13,0
6,5	16,0
6,6	24,0
6,7	32,0
6,8	41,0
6,9	54,0
7,0	60,0
7,1	64,0
7,2	74,0
7,3	88,0
7,4	90,0
7,5	100,0
7,6	108,0
7,7	108,0
7,8	113,0
7,9	126,0
8,0	125,0
8,1	124,0
8,2	135,0
8,3	144,0
8,4	135,0
8,5	142,0
8,6	149,0
8,7	152,0
8,8	157,0
8,9	157,0
9,0	157,0
9,1	165,0
9,2	171,0
9,3	164,0
9,4	160,0
9,5	176,0
9,6	185,0
9,7	188,0
9,8	171,0
9,9	178,0
10,0	180,0
10,1	189,0
10,2	169,0
10,3	186,0
10,4	192,0
10,5	192,0
10,6	195,0
10,7	192,0
10,8	188,0
10,9	197,0
11,0	197,0
11,1	193,0
11,2	200,0
11,3	206,0
11,4	199,0
11,5	207,0
11,6	205,0
11,7	204,0
11,8	203,0
11,9	207,0
12,0	203,0
12,1	205,0
12,2	212,0
12,3	209,0
12,4	212,0
12,5	205,0
12,6	201,0
12,7	206,0
12,8	192,0
12,9	178,0
13,0	166,0
13,1	156,0
13,2	161,0
13,3	159,0
13,4	166,0
13,5	159,0
13,6	162,0
13,7	164,0
13,8	159,0
13,9	164,0
14,0	162,0
14,1	160,0
14,2	147,0
14,3	162,0
14,4	157,0
14,5	155,0
14,6	163,0
14,7	156,0
14,8	157,0
14,9	147,0
15,0	158,0
15,1	155,0
15,2	160,0
15,3	158,0
15,4	165,0
15,5	158,0
15,6	148,0
15,7	152,0
15,8	150,0
15,9	152,0
16,0	142,0
16,1	144,0
16,2	139,0
16,3	148,0
16,4	140,0
16,5	142,0
16,6	139,0
16,7	143,0
16,8	146,0
16,9	131,0
17,0	130,0
17,1	121,0
17,2	127,0
17,3	128,0
17,4	122,0
17,5	125,0
17,6	125,0
17,7	120,0
17,8	122,0
17,9	115,0
18,0	130,0
18,1	126,0
18,2	124,0
18,3	125,0
18,4	118,0
18,5	121,0
18,6	125,0
18,7	120,0
18,8	119,0
18,9	117,0
19,0	111,0
19,1	120,0
19,2	107,0
19,3	106,0
19,4	127,0
19,5	178,0
19,6	367,0
19,7	1041,0
19,8	1440,0
19,9	1431,0
20,0	810,0
20,1	278,0
20,2	177,0
20,3	163,0
20,4	141,0
20,5	136,0
20,6	133,0
20,7	128,0
20,8	117,0
20,9	119,0
21,0	132,0
21,1	135,0
21,2	137,0
21,3	131,0
21,4	121,0
21,5	134,0
21,6	159,0
21,7	195,0
21,8	326,0
21,9	1555,0
22,0	4081,0
22,1	5230,0
22,2	4876,0
22,3	3164,0
22,4	440,0
22,5	140,0
22,6	116,0
22,7	99,0
22,8	102,0
22,9	89,0
23,0	86,0
