Crystal angle	Rate at 20kV
theta/°	R(20kV)/Imp/s

2,0	14,0
2,1	14,0
2,2	11,0
2,3	8,0
2,4	9,0
2,5	8,0
2,6	7,0
2,7	6,0
2,8	7,0
2,9	7,0
3,0	5,0
3,1	6,0
3,2	6,0
3,3	6,0
3,4	6,0
3,5	4,0
3,6	5,0
3,7	7,0
3,8	5,0
3,9	5,0
4,0	5,0
4,1	4,0
4,2	4,0
4,3	4,0
4,4	5,0
4,5	4,0
4,6	4,0
4,7	4,0
4,8	4,0
4,9	5,0
5,0	4,0
5,1	4,0
5,2	4,0
5,3	5,0
5,4	3,0
5,5	4,0
5,6	3,0
5,7	4,0
5,8	4,0
5,9	3,0
6,0	3,0
6,1	3,0
6,2	3,0
6,3	5,0
6,4	5,0
6,5	3,0
6,6	5,0
6,7	5,0
6,8	4,0
6,9	4,0
7,0	6,0
7,1	5,0
7,2	4,0
7,3	8,0
7,4	5,0
7,5	7,0
7,6	5,0
7,7	6,0
7,8	7,0
7,9	7,0
8,0	8,0
8,1	7,0
8,2	8,0
8,3	8,0
8,4	12,0
8,5	20,0
8,6	25,0
8,7	31,0
8,8	36,0
8,9	39,0
9,0	44,0
9,1	55,0
9,2	54,0
9,3	61,0
9,4	63,0
9,5	71,0
9,6	71,0
9,7	70,0
9,8	80,0
9,9	85,0
10,0	86,0
10,1	86,0
10,2	88,0
10,3	91,0
10,4	91,0
10,5	100,0
10,6	97,0
10,7	98,0
10,8	95,0
10,9	104,0
11,0	108,0
11,1	106,0
11,2	113,0
11,3	114,0
11,4	118,0
11,5	111,0
11,6	124,0
11,7	122,0
11,8	125,0
11,9	126,0
12,0	125,0
12,1	124,0
12,2	131,0
12,3	122,0
12,4	126,0
12,5	128,0
12,6	136,0
12,7	130,0
12,8	120,0
12,9	106,0
13,0	101,0
13,1	101,0
13,2	99,0
13,3	107,0
13,4	107,0
13,5	107,0
13,6	101,0
13,7	104,0
13,8	107,0
13,9	108,0
14,0	109,0
14,1	105,0
14,2	105,0
14,3	103,0
14,4	106,0
14,5	105,0
14,6	101,0
14,7	102,0
14,8	99,0
14,9	105,0
15,0	102,0
15,1	102,0
15,2	107,0
15,3	104,0
15,4	103,0
15,5	104,0
15,6	101,0
15,7	101,0
15,8	100,0
15,9	96,0
16,0	99,0
16,1	95,0
16,2	94,0
16,3	95,0
16,4	94,0
16,5	92,0
16,6	88,0
16,7	89,0
16,8	89,0
16,9	86,0
17,0	88,0
17,1	81,0
17,2	84,0
17,3	88,0
17,4	85,0
17,5	87,0
17,6	83,0
17,7	87,0
17,8	80,0
17,9	82,0
18,0	82,0
18,1	88,0
18,2	87,0
18,3	92,0
18,4	84,0
18,5	84,0
18,6	82,0
18,7	80,0
18,8	81,0
18,9	79,0
19,0	74,0
19,1	82,0
19,2	74,0
19,3	75,0
19,4	84,0
19,5	116,0
19,6	217,0
19,7	635,0
19,8	849,0
19,9	853,0
20,0	461,0
20,1	159,0
20,2	109,0
20,3	100,0
20,4	91,0
20,5	87,0
20,6	80,0
20,7	82,0
20,8	83,0
20,9	84,0
21,0	90,0
21,1	94,0
21,2	85,0
21,3	86,0
21,4	84,0
21,5	84,0
21,6	93,0
21,7	137,0
21,8	209,0
21,9	1057,0
22,0	2616,0
22,1	3326,0
22,2	2928,0
22,3	1801,0
22,4	223,0
22,5	97,0
22,6	71,0
22,7	67,0
22,8	62,0
22,9	55,0
23,0	59,0
