Crystal angle	Rate at 33kV
theta/°	R(33kV)/Imp/s

2,0	3002,0
2,1	2392,0
2,2	794,0
2,3	453,0
2,4	350,0
2,5	330,0
2,6	328,0
2,7	294,0
2,8	274,0
2,9	266,0
3,0	248,0
3,1	230,0
3,2	200,0
3,3	176,0
3,4	156,0
3,5	130,0
3,6	118,0
3,7	94,0
3,8	86,0
3,9	82,0
4,0	74,0
4,1	64,0
4,2	55,0
4,3	47,0
4,4	47,0
4,5	44,0
4,6	40,0
4,7	42,0
4,8	37,0
4,9	52,0
5,0	66,0
5,1	82,0
5,2	88,0
5,3	112,0
5,4	124,0
5,5	147,0
5,6	155,0
5,7	171,0
5,8	177,0
5,9	192,0
6,0	199,0
6,1	203,0
6,2	219,0
6,3	229,0
6,4	229,0
6,5	234,0
6,6	241,0
6,7	249,0
6,8	249,0
6,9	258,0
7,0	261,0
7,1	260,0
7,2	267,0
7,3	257,0
7,4	263,0
7,5	272,0
7,6	259,0
7,7	269,0
7,8	262,0
7,9	271,0
8,0	275,0
8,1	272,0
8,2	277,0
8,3	276,0
8,4	277,0
8,5	278,0
8,6	275,0
8,7	276,0
8,8	269,0
8,9	278,0
9,0	279,0
9,1	271,0
9,2	294,0
9,3	281,0
9,4	285,0
9,5	282,0
9,6	276,0
9,7	271,0
9,8	281,0
9,9	284,0
10,0	284,0
10,1	284,0
10,2	283,0
10,3	283,0
10,4	285,0
10,5	280,0
10,6	276,0
10,7	281,0
10,8	290,0
10,9	278,0
11,0	284,0
11,1	290,0
11,2	278,0
11,3	286,0
11,4	284,0
11,5	282,0
11,6	288,0
11,7	295,0
11,8	285,0
11,9	288,0
12,0	290,0
12,1	285,0
12,2	282,0
12,3	287,0
12,4	284,0
12,5	293,0
12,6	295,0
12,7	271,0
12,8	254,0
12,9	248,0
13,0	226,0
13,1	217,0
13,2	223,0
13,3	225,0
13,4	230,0
13,5	227,0
13,6	226,0
13,7	216,0
13,8	211,0
13,9	220,0
14,0	219,0
14,1	218,0
14,2	209,0
14,3	211,0
14,4	209,0
14,5	209,0
14,6	206,0
14,7	205,0
14,8	216,0
14,9	201,0
15,0	208,0
15,1	197,0
15,2	206,0
15,3	200,0
15,4	198,0
15,5	192,0
15,6	192,0
15,7	186,0
15,8	184,0
15,9	183,0
16,0	183,0
16,1	182,0
16,2	184,0
16,3	174,0
16,4	175,0
16,5	170,0
16,6	164,0
16,7	162,0
16,8	161,0
16,9	152,0
17,0	152,0
17,1	160,0
17,2	159,0
17,3	158,0
17,4	154,0
17,5	157,0
17,6	144,0
17,7	144,0
17,8	147,0
17,9	142,0
18,0	139,0
18,1	139,0
18,2	149,0
18,3	150,0
18,4	138,0
18,5	139,0
18,6	140,0
18,7	138,0
18,8	139,0
18,9	129,0
19,0	130,0
19,1	128,0
19,2	132,0
19,3	134,0
19,4	159,0
19,5	224,0
19,6	493,0
19,7	1481,0
19,8	1999,0
19,9	1991,0
20,0	1137,0
20,1	401,0
20,2	236,0
20,3	217,0
20,4	189,0
20,5	182,0
20,6	170,0
20,7	162,0
20,8	162,0
20,9	158,0
21,0	155,0
21,1	171,0
21,2	166,0
21,3	160,0
21,4	166,0
21,5	180,0
21,6	203,0
21,7	282,0
21,8	432,0
21,9	2128,0
22,0	5440,0
22,1	6784,0
22,2	6389,0
22,3	4471,0
22,4	659,0
22,5	218,0
22,6	161,0
22,7	138,0
22,8	122,0
22,9	119,0
23,0	107,0
23,1	112,0
23,2	104,0
23,3	98,0
23,4	92,0
23,5	97,0
23,6	88,0
23,7	86,0
23,8	93,0
23,9	98,0
24,0	87,0
24,1	87,0
24,2	80,0
24,3	76,0
24,4	72,0
24,5	73,0
24,6	70,0
24,7	66,0
24,8	67,0
24,9	68,0
25,0	61,0
25,1	63,0
25,2	63,0
25,3	60,0
25,4	59,0
25,5	57,0
25,6	56,0
25,7	58,0
25,8	56,0
25,9	54,0
26,0	53,0
26,1	49,0
26,2	48,0
26,3	55,0
26,4	49,0
26,5	46,0
26,6	50,0
26,7	45,0
26,8	43,0
26,9	41,0
27,0	41,0
27,1	38,0
27,2	39,0
27,3	40,0
27,4	38,0
27,5	39,0
27,6	35,0
27,7	36,0
27,8	39,0
27,9	34,0
28,0	36,0
28,1	34,0
28,2	33,0
28,3	35,0
28,4	34,0
28,5	33,0
28,6	31,0
28,7	31,0
28,8	30,0
28,9	29,0
29,0	30,0
29,1	27,0
29,2	29,0
29,3	25,0
29,4	28,0
29,5	23,0
29,6	24,0
29,7	25,0
29,8	24,0
29,9	22,0
30,0	24,0
30,1	25,0
30,2	28,0
30,3	23,0
30,4	20,0
30,5	24,0
30,6	25,0
30,7	23,0
30,8	23,0
30,9	21,0
31,0	25,0
31,1	21,0
31,2	21,0
31,3	20,0
31,4	21,0
