   178    82
   190    92
   196    92
   204    88
   217    83
   250    87
   254    90
   286   143
   290   142
   314    91
   326    98
   353   170
   357   168
   391   117
   407   207
   458   250
   485   130
   504   234
   545   240
   581   255
   585   255
   620   246
   627   225
   653   245
   658   247
   662   244
   686   255
   691   255
   695   250
   719   255
   725   255
   749   255
   761   255
   768   252
   772   252
   779   255
   790   255
   803   254
   807   254
   823   255
   830   255
   844   255
