   224   100
   230   105
   234   105
   244    93
   261    90
   265    92
   269    92
   296   147
   303   137
   319    96
   325    95
   347   153
   372    82
   379    81
   391    85
   400    93
   405    99
   410   105
   428   198
   466   244
   499   216
   539   116
   560   226
   586   254
   592   252
   617   230
   647   149
   669   249
   679   238
   690   255
   695   255
   700   249
   712   248
   722   249
   733   198
   763   254
   777   250
   782   255
   793   255
   804   255
   811   255
   825   235
