   210   101
   215   105
   221   110
   225   110
   233   104
   245    92
   254    91
   261    97
   268    99
   294   161
   323   104
   351   170
   376    97
   394   104
   398   106
   423   219
   462   255
   467   255
   503   243
   531   132
   555   251
   582   255
   588   255
   592   252
   620   254
   645   178
   665   253
   669   255
   679   255
   685   255
   700   255
   712   249
   717   255
   725   255
   758   255
   763   255
   769   255
   798   255
   827   253
   839   255
