-54.116871 	 inf 	 5 	 1
-33.793557 	 330.606526 	 5 	 2
-43.619460 	 inf 	 5 	 3
-36.651154 	 inf 	 6 	 1
-51.721106 	 782.667316 	 6 	 2
-25.783854 	 inf 	 6 	 3
-111.603377 	 3582.091382 	 7 	 1
-156.157498 	 3758.980791 	 7 	 2
-131.179438 	 2297.657854 	 7 	 3
-85.172581 	 inf 	 8 	 1
-82.274417 	 inf 	 8 	 2
-86.097145 	 inf 	 8 	 3
-97.681217 	 inf 	 9 	 1
-75.991808 	 inf 	 9 	 2
-89.687992 	 inf 	 9 	 3
-28.531344 	 318.452929 	 10 	 1
-73.087420 	 1514.190245 	 10 	 2
-26.052116 	 179.348507 	 10 	 3
-98.764738 	 3402.015467 	 11 	 1
-116.654970 	 3606.943287 	 11 	 2
-111.121065 	 2497.987766 	 11 	 3
-26.338253 	 290.852312 	 12 	 1
-76.199346 	 1621.614734 	 12 	 2
-139.708619 	 4130.211211 	 12 	 3
-82.182865 	 inf 	 13 	 1
-81.283935 	 inf 	 13 	 2
-84.659979 	 inf 	 13 	 3
-22.492382 	 inf 	 14 	 1
-48.522615 	 inf 	 14 	 2
-21.220503 	 inf 	 14 	 3
